启动遗传算法优化
种群大小: 50
进化代数: 500
变异率: 0.05
交叉率: 0.8
精英保留比例: 0.1 (5个体)
初始化模式: random
并行评估: True, workers: 12
日志文件: ga_results/ga_run.log
------------------------------------------------------------
启动遗传算法优化
种群大小: 50
进化代数: 500
变异率: 0.05
交叉率: 0.8
精英保留比例: 0.1 (5个体)
初始化模式: random
并行评估: True, workers: 12
日志文件: ga_results/ga_run.log
------------------------------------------------------------
第   0 代 | 最优适应度:  0.4265 | 平均适应度:  0.2817 | 标准差:  0.0590
第  75 代 | 最优适应度:  0.7534 | 平均适应度:  0.6581 | 标准差:  0.0478
第  76 代 | 最优适应度:  0.7534 | 平均适应度:  0.6578 | 标准差:  0.0587
第  77 代 | 最优适应度:  0.7534 | 平均适应度:  0.6630 | 标准差:  0.0462
第  78 代 | 最优适应度:  0.7534 | 平均适应度:  0.6634 | 标准差:  0.0486
第  79 代 | 最优适应度:  0.7670 | 平均适应度:  0.6679 | 标准差:  0.0557
第  80 代 | 最优适应度:  0.7670 | 平均适应度:  0.6731 | 标准差:  0.0486
第  81 代 | 最优适应度:  0.7670 | 平均适应度:  0.6730 | 标准差:  0.0472
第  82 代 | 最优适应度:  0.7670 | 平均适应度:  0.6713 | 标准差:  0.0444
第  83 代 | 最优适应度:  0.7670 | 平均适应度:  0.6536 | 标准差:  0.0573
第  84 代 | 最优适应度:  0.7670 | 平均适应度:  0.6563 | 标准差:  0.0597
第  85 代 | 最优适应度:  0.7670 | 平均适应度:  0.6733 | 标准差:  0.0492
第  86 代 | 最优适应度:  0.7670 | 平均适应度:  0.6731 | 标准差:  0.0473
第  87 代 | 最优适应度:  0.7670 | 平均适应度:  0.6749 | 标准差:  0.0533
第  88 代 | 最优适应度:  0.7670 | 平均适应度:  0.6727 | 标准差:  0.0538
第  89 代 | 最优适应度:  0.7670 | 平均适应度:  0.6715 | 标准差:  0.0510
第  90 代 | 最优适应度:  0.7670 | 平均适应度:  0.6734 | 标准差:  0.0487
第  91 代 | 最优适应度:  0.7670 | 平均适应度:  0.6694 | 标准差:  0.0527
第  92 代 | 最优适应度:  0.7670 | 平均适应度:  0.6715 | 标准差:  0.0466
第  93 代 | 最优适应度:  0.7670 | 平均适应度:  0.6794 | 标准差:  0.0521
第  94 代 | 最优适应度:  0.7670 | 平均适应度:  0.6783 | 标准差:  0.0533
第  95 代 | 最优适应度:  0.7670 | 平均适应度:  0.6769 | 标准差:  0.0480
第  96 代 | 最优适应度:  0.7670 | 平均适应度:  0.6788 | 标准差:  0.0591
第  97 代 | 最优适应度:  0.8042 | 平均适应度:  0.6750 | 标准差:  0.0520
第  98 代 | 最优适应度:  0.8042 | 平均适应度:  0.6768 | 标准差:  0.0554
第  99 代 | 最优适应度:  0.8042 | 平均适应度:  0.6790 | 标准差:  0.0545
第 100 代 | 最优适应度:  0.8042 | 平均适应度:  0.6731 | 标准差:  0.0564
第 101 代 | 最优适应度:  0.8042 | 平均适应度:  0.6775 | 标准差:  0.0529
第 102 代 | 最优适应度:  0.8042 | 平均适应度:  0.6777 | 标准差:  0.0569
第 103 代 | 最优适应度:  0.8042 | 平均适应度:  0.6747 | 标准差:  0.0591
第 104 代 | 最优适应度:  0.8042 | 平均适应度:  0.6849 | 标准差:  0.0547
第 105 代 | 最优适应度:  0.8042 | 平均适应度:  0.6800 | 标准差:  0.0623
第 106 代 | 最优适应度:  0.8042 | 平均适应度:  0.6865 | 标准差:  0.0571
第 107 代 | 最优适应度:  0.8042 | 平均适应度:  0.6961 | 标准差:  0.0519
第 108 代 | 最优适应度:  0.8042 | 平均适应度:  0.6874 | 标准差:  0.0529
第 109 代 | 最优适应度:  0.8042 | 平均适应度:  0.6960 | 标准差:  0.0486
第 110 代 | 最优适应度:  0.8042 | 平均适应度:  0.6836 | 标准差:  0.0546
第 111 代 | 最优适应度:  0.8042 | 平均适应度:  0.6940 | 标准差:  0.0502
第 112 代 | 最优适应度:  0.8042 | 平均适应度:  0.6937 | 标准差:  0.0513
第 113 代 | 最优适应度:  0.8042 | 平均适应度:  0.6984 | 标准差:  0.0477
第 114 代 | 最优适应度:  0.8042 | 平均适应度:  0.7050 | 标准差:  0.0458
第 115 代 | 最优适应度:  0.8042 | 平均适应度:  0.6929 | 标准差:  0.0537
第 116 代 | 最优适应度:  0.8042 | 平均适应度:  0.7001 | 标准差:  0.0511
第 117 代 | 最优适应度:  0.8042 | 平均适应度:  0.6982 | 标准差:  0.0550
第 118 代 | 最优适应度:  0.8042 | 平均适应度:  0.7012 | 标准差:  0.0495
第 119 代 | 最优适应度:  0.8042 | 平均适应度:  0.6935 | 标准差:  0.0526
第 120 代 | 最优适应度:  0.8042 | 平均适应度:  0.6844 | 标准差:  0.0564
第 121 代 | 最优适应度:  0.8042 | 平均适应度:  0.6816 | 标准差:  0.0600
第 122 代 | 最优适应度:  0.8042 | 平均适应度:  0.6899 | 标准差:  0.0556
第 123 代 | 最优适应度:  0.8042 | 平均适应度:  0.6905 | 标准差:  0.0577
第 124 代 | 最优适应度:  0.8042 | 平均适应度:  0.6970 | 标准差:  0.0506
第 125 代 | 最优适应度:  0.8042 | 平均适应度:  0.6921 | 标准差:  0.0525
第 126 代 | 最优适应度:  0.8042 | 平均适应度:  0.6910 | 标准差:  0.0513
第 127 代 | 最优适应度:  0.8042 | 平均适应度:  0.6964 | 标准差:  0.0565
第 128 代 | 最优适应度:  0.8042 | 平均适应度:  0.7061 | 标准差:  0.0525
第 129 代 | 最优适应度:  0.8042 | 平均适应度:  0.7027 | 标准差:  0.0500
第 130 代 | 最优适应度:  0.8042 | 平均适应度:  0.7000 | 标准差:  0.0459
第 131 代 | 最优适应度:  0.8042 | 平均适应度:  0.6957 | 标准差:  0.0516
第 132 代 | 最优适应度:  0.8042 | 平均适应度:  0.6902 | 标准差:  0.0529
第 133 代 | 最优适应度:  0.8042 | 平均适应度:  0.6959 | 标准差:  0.0595
第 134 代 | 最优适应度:  0.8042 | 平均适应度:  0.6989 | 标准差:  0.0549
第 135 代 | 最优适应度:  0.8042 | 平均适应度:  0.7005 | 标准差:  0.0490
第 136 代 | 最优适应度:  0.8042 | 平均适应度:  0.6956 | 标准差:  0.0523
第 137 代 | 最优适应度:  0.8042 | 平均适应度:  0.6953 | 标准差:  0.0580
第 138 代 | 最优适应度:  0.8042 | 平均适应度:  0.6903 | 标准差:  0.0589
第 139 代 | 最优适应度:  0.8042 | 平均适应度:  0.6877 | 标准差:  0.0544
第 140 代 | 最优适应度:  0.8042 | 平均适应度:  0.6939 | 标准差:  0.0492
第 141 代 | 最优适应度:  0.8042 | 平均适应度:  0.6775 | 标准差:  0.0552
第 142 代 | 最优适应度:  0.8042 | 平均适应度:  0.6856 | 标准差:  0.0636
第 143 代 | 最优适应度:  0.8042 | 平均适应度:  0.6908 | 标准差:  0.0570
第 144 代 | 最优适应度:  0.8042 | 平均适应度:  0.6997 | 标准差:  0.0548
第 145 代 | 最优适应度:  0.8042 | 平均适应度:  0.7006 | 标准差:  0.0457
第 146 代 | 最优适应度:  0.8042 | 平均适应度:  0.7000 | 标准差:  0.0548
第 147 代 | 最优适应度:  0.8042 | 平均适应度:  0.6951 | 标准差:  0.0590
第 148 代 | 最优适应度:  0.8042 | 平均适应度:  0.6967 | 标准差:  0.0532
第 149 代 | 最优适应度:  0.8042 | 平均适应度:  0.7082 | 标准差:  0.0467
第 150 代 | 最优适应度:  0.8042 | 平均适应度:  0.7004 | 标准差:  0.0506
第 151 代 | 最优适应度:  0.8042 | 平均适应度:  0.6950 | 标准差:  0.0560
第 152 代 | 最优适应度:  0.8042 | 平均适应度:  0.7000 | 标准差:  0.0487
第 153 代 | 最优适应度:  0.8042 | 平均适应度:  0.6954 | 标准差:  0.0515
第 154 代 | 最优适应度:  0.8042 | 平均适应度:  0.7017 | 标准差:  0.0545
第 155 代 | 最优适应度:  0.8042 | 平均适应度:  0.7063 | 标准差:  0.0517
第 156 代 | 最优适应度:  0.8042 | 平均适应度:  0.7007 | 标准差:  0.0516
第 157 代 | 最优适应度:  0.8071 | 平均适应度:  0.7030 | 标准差:  0.0511
第 158 代 | 最优适应度:  0.8071 | 平均适应度:  0.7102 | 标准差:  0.0489
第 159 代 | 最优适应度:  0.8071 | 平均适应度:  0.7018 | 标准差:  0.0555
第 160 代 | 最优适应度:  0.8071 | 平均适应度:  0.7004 | 标准差:  0.0508
第 161 代 | 最优适应度:  0.8071 | 平均适应度:  0.6993 | 标准差:  0.0565
第 162 代 | 最优适应度:  0.8071 | 平均适应度:  0.7037 | 标准差:  0.0518
第 163 代 | 最优适应度:  0.8071 | 平均适应度:  0.7033 | 标准差:  0.0493
第 164 代 | 最优适应度:  0.8071 | 平均适应度:  0.7117 | 标准差:  0.0523
第 165 代 | 最优适应度:  0.8071 | 平均适应度:  0.7034 | 标准差:  0.0545
第 166 代 | 最优适应度:  0.8071 | 平均适应度:  0.7155 | 标准差:  0.0493
第 167 代 | 最优适应度:  0.8071 | 平均适应度:  0.7054 | 标准差:  0.0495
第 168 代 | 最优适应度:  0.8071 | 平均适应度:  0.7147 | 标准差:  0.0452
第 169 代 | 最优适应度:  0.8093 | 平均适应度:  0.7100 | 标准差:  0.0557
第 170 代 | 最优适应度:  0.8093 | 平均适应度:  0.7173 | 标准差:  0.0477
第 171 代 | 最优适应度:  0.8093 | 平均适应度:  0.7129 | 标准差:  0.0484
第 172 代 | 最优适应度:  0.8093 | 平均适应度:  0.7058 | 标准差:  0.0530
第 173 代 | 最优适应度:  0.8093 | 平均适应度:  0.7053 | 标准差:  0.0504
第 174 代 | 最优适应度:  0.8093 | 平均适应度:  0.7072 | 标准差:  0.0508
第 175 代 | 最优适应度:  0.8093 | 平均适应度:  0.7051 | 标准差:  0.0499
第 176 代 | 最优适应度:  0.8093 | 平均适应度:  0.7110 | 标准差:  0.0480
第 177 代 | 最优适应度:  0.8093 | 平均适应度:  0.6933 | 标准差:  0.0622
第 178 代 | 最优适应度:  0.8093 | 平均适应度:  0.7046 | 标准差:  0.0544
第 179 代 | 最优适应度:  0.8093 | 平均适应度:  0.7080 | 标准差:  0.0529
第 180 代 | 最优适应度:  0.8093 | 平均适应度:  0.7109 | 标准差:  0.0478
第 181 代 | 最优适应度:  0.8093 | 平均适应度:  0.6981 | 标准差:  0.0589
第 182 代 | 最优适应度:  0.8093 | 平均适应度:  0.7042 | 标准差:  0.0592
第 183 代 | 最优适应度:  0.8093 | 平均适应度:  0.7171 | 标准差:  0.0499
第 184 代 | 最优适应度:  0.8093 | 平均适应度:  0.7113 | 标准差:  0.0504
第 185 代 | 最优适应度:  0.8093 | 平均适应度:  0.7176 | 标准差:  0.0483
第 186 代 | 最优适应度:  0.8093 | 平均适应度:  0.7096 | 标准差:  0.0528
第 187 代 | 最优适应度:  0.8093 | 平均适应度:  0.7093 | 标准差:  0.0519
第 188 代 | 最优适应度:  0.8093 | 平均适应度:  0.7094 | 标准差:  0.0531
第 189 代 | 最优适应度:  0.8093 | 平均适应度:  0.7123 | 标准差:  0.0504
第 190 代 | 最优适应度:  0.8093 | 平均适应度:  0.7165 | 标准差:  0.0497
第 191 代 | 最优适应度:  0.8093 | 平均适应度:  0.7225 | 标准差:  0.0504
第 192 代 | 最优适应度:  0.8093 | 平均适应度:  0.7221 | 标准差:  0.0468
第 193 代 | 最优适应度:  0.8093 | 平均适应度:  0.7113 | 标准差:  0.0454
第 194 代 | 最优适应度:  0.8093 | 平均适应度:  0.7164 | 标准差:  0.0548
第 195 代 | 最优适应度:  0.8093 | 平均适应度:  0.7285 | 标准差:  0.0443
第 196 代 | 最优适应度:  0.8093 | 平均适应度:  0.7176 | 标准差:  0.0448
第 197 代 | 最优适应度:  0.8093 | 平均适应度:  0.7221 | 标准差:  0.0465
第 198 代 | 最优适应度:  0.8093 | 平均适应度:  0.7194 | 标准差:  0.0453
第 199 代 | 最优适应度:  0.8093 | 平均适应度:  0.7145 | 标准差:  0.0462
第 200 代 | 最优适应度:  0.8093 | 平均适应度:  0.7002 | 标准差:  0.0593
第 201 代 | 最优适应度:  0.8093 | 平均适应度:  0.7062 | 标准差:  0.0546
第 202 代 | 最优适应度:  0.8093 | 平均适应度:  0.7151 | 标准差:  0.0480
第 203 代 | 最优适应度:  0.8093 | 平均适应度:  0.7051 | 标准差:  0.0558
第 204 代 | 最优适应度:  0.8093 | 平均适应度:  0.7160 | 标准差:  0.0480
第 205 代 | 最优适应度:  0.8093 | 平均适应度:  0.7096 | 标准差:  0.0497
第 206 代 | 最优适应度:  0.8093 | 平均适应度:  0.7121 | 标准差:  0.0554
第 207 代 | 最优适应度:  0.8093 | 平均适应度:  0.7083 | 标准差:  0.0517
第 208 代 | 最优适应度:  0.8093 | 平均适应度:  0.7117 | 标准差:  0.0506
第 209 代 | 最优适应度:  0.8093 | 平均适应度:  0.7086 | 标准差:  0.0491
第 210 代 | 最优适应度:  0.8093 | 平均适应度:  0.7136 | 标准差:  0.0475
第 211 代 | 最优适应度:  0.8093 | 平均适应度:  0.7132 | 标准差:  0.0513
第 212 代 | 最优适应度:  0.8093 | 平均适应度:  0.7041 | 标准差:  0.0559
第 213 代 | 最优适应度:  0.8093 | 平均适应度:  0.7107 | 标准差:  0.0507
第 214 代 | 最优适应度:  0.8093 | 平均适应度:  0.7095 | 标准差:  0.0555
第 215 代 | 最优适应度:  0.8093 | 平均适应度:  0.7157 | 标准差:  0.0468
第 216 代 | 最优适应度:  0.8093 | 平均适应度:  0.7105 | 标准差:  0.0483
第 217 代 | 最优适应度:  0.8093 | 平均适应度:  0.7135 | 标准差:  0.0557
第 218 代 | 最优适应度:  0.8093 | 平均适应度:  0.7002 | 标准差:  0.0495
第 219 代 | 最优适应度:  0.8093 | 平均适应度:  0.6971 | 标准差:  0.0600
第 220 代 | 最优适应度:  0.8093 | 平均适应度:  0.7124 | 标准差:  0.0528
第 221 代 | 最优适应度:  0.8093 | 平均适应度:  0.7234 | 标准差:  0.0517
第 222 代 | 最优适应度:  0.8093 | 平均适应度:  0.7262 | 标准差:  0.0445
第 223 代 | 最优适应度:  0.8093 | 平均适应度:  0.7034 | 标准差:  0.0553
第 224 代 | 最优适应度:  0.8093 | 平均适应度:  0.7092 | 标准差:  0.0561
第 225 代 | 最优适应度:  0.8093 | 平均适应度:  0.7045 | 标准差:  0.0569
第 226 代 | 最优适应度:  0.8093 | 平均适应度:  0.7159 | 标准差:  0.0504
第 227 代 | 最优适应度:  0.8093 | 平均适应度:  0.7168 | 标准差:  0.0482
第 228 代 | 最优适应度:  0.8093 | 平均适应度:  0.7096 | 标准差:  0.0511
第 229 代 | 最优适应度:  0.8093 | 平均适应度:  0.7092 | 标准差:  0.0533
第 230 代 | 最优适应度:  0.8093 | 平均适应度:  0.7140 | 标准差:  0.0564
第 231 代 | 最优适应度:  0.8093 | 平均适应度:  0.7148 | 标准差:  0.0437
第 232 代 | 最优适应度:  0.8093 | 平均适应度:  0.7041 | 标准差:  0.0525
第 233 代 | 最优适应度:  0.8093 | 平均适应度:  0.7074 | 标准差:  0.0628
第 234 代 | 最优适应度:  0.8093 | 平均适应度:  0.7093 | 标准差:  0.0521
第 235 代 | 最优适应度:  0.8093 | 平均适应度:  0.7181 | 标准差:  0.0458
第 236 代 | 最优适应度:  0.8093 | 平均适应度:  0.7087 | 标准差:  0.0492
第 237 代 | 最优适应度:  0.8093 | 平均适应度:  0.6971 | 标准差:  0.0581
第 238 代 | 最优适应度:  0.8093 | 平均适应度:  0.7022 | 标准差:  0.0570
第 239 代 | 最优适应度:  0.8093 | 平均适应度:  0.7119 | 标准差:  0.0514
第 240 代 | 最优适应度:  0.8093 | 平均适应度:  0.7222 | 标准差:  0.0466
第 241 代 | 最优适应度:  0.8093 | 平均适应度:  0.7275 | 标准差:  0.0496
第 242 代 | 最优适应度:  0.8299 | 平均适应度:  0.7229 | 标准差:  0.0499
第 243 代 | 最优适应度:  0.8299 | 平均适应度:  0.7192 | 标准差:  0.0539
第 244 代 | 最优适应度:  0.8299 | 平均适应度:  0.7046 | 标准差:  0.0543
第 245 代 | 最优适应度:  0.8299 | 平均适应度:  0.7073 | 标准差:  0.0611
第 246 代 | 最优适应度:  0.8299 | 平均适应度:  0.7126 | 标准差:  0.0553
第 247 代 | 最优适应度:  0.8299 | 平均适应度:  0.7010 | 标准差:  0.0573
第 248 代 | 最优适应度:  0.8299 | 平均适应度:  0.7007 | 标准差:  0.0595
第 249 代 | 最优适应度:  0.8299 | 平均适应度:  0.7115 | 标准差:  0.0514
第 250 代 | 最优适应度:  0.8299 | 平均适应度:  0.7110 | 标准差:  0.0592
第 251 代 | 最优适应度:  0.8299 | 平均适应度:  0.7051 | 标准差:  0.0506
第 252 代 | 最优适应度:  0.8299 | 平均适应度:  0.7043 | 标准差:  0.0545
第 253 代 | 最优适应度:  0.8299 | 平均适应度:  0.7153 | 标准差:  0.0564
第 254 代 | 最优适应度:  0.8299 | 平均适应度:  0.7123 | 标准差:  0.0452
第 255 代 | 最优适应度:  0.8299 | 平均适应度:  0.7127 | 标准差:  0.0574
第 256 代 | 最优适应度:  0.8299 | 平均适应度:  0.7121 | 标准差:  0.0553
第 257 代 | 最优适应度:  0.8299 | 平均适应度:  0.7133 | 标准差:  0.0544
第 258 代 | 最优适应度:  0.8299 | 平均适应度:  0.7202 | 标准差:  0.0485
第 259 代 | 最优适应度:  0.8299 | 平均适应度:  0.7300 | 标准差:  0.0512
第 260 代 | 最优适应度:  0.8299 | 平均适应度:  0.7157 | 标准差:  0.0453
第 261 代 | 最优适应度:  0.8299 | 平均适应度:  0.7099 | 标准差:  0.0538
第 262 代 | 最优适应度:  0.8299 | 平均适应度:  0.7175 | 标准差:  0.0561
第 263 代 | 最优适应度:  0.8299 | 平均适应度:  0.7161 | 标准差:  0.0498
第 264 代 | 最优适应度:  0.8299 | 平均适应度:  0.7045 | 标准差:  0.0581
第 265 代 | 最优适应度:  0.8299 | 平均适应度:  0.7205 | 标准差:  0.0565
第 266 代 | 最优适应度:  0.8299 | 平均适应度:  0.7144 | 标准差:  0.0537
第 267 代 | 最优适应度:  0.8299 | 平均适应度:  0.7179 | 标准差:  0.0451
第 268 代 | 最优适应度:  0.8299 | 平均适应度:  0.7089 | 标准差:  0.0543
第 269 代 | 最优适应度:  0.8299 | 平均适应度:  0.7072 | 标准差:  0.0525
第 270 代 | 最优适应度:  0.8299 | 平均适应度:  0.7025 | 标准差:  0.0539
第 271 代 | 最优适应度:  0.8299 | 平均适应度:  0.7016 | 标准差:  0.0688
第 272 代 | 最优适应度:  0.8299 | 平均适应度:  0.7042 | 标准差:  0.0537
第 273 代 | 最优适应度:  0.8299 | 平均适应度:  0.7027 | 标准差:  0.0559
第 274 代 | 最优适应度:  0.8299 | 平均适应度:  0.7061 | 标准差:  0.0595
第 275 代 | 最优适应度:  0.8299 | 平均适应度:  0.7064 | 标准差:  0.0556
第 276 代 | 最优适应度:  0.8299 | 平均适应度:  0.7084 | 标准差:  0.0560
第 277 代 | 最优适应度:  0.8299 | 平均适应度:  0.7180 | 标准差:  0.0507
第 278 代 | 最优适应度:  0.8299 | 平均适应度:  0.7043 | 标准差:  0.0564
第 279 代 | 最优适应度:  0.8380 | 平均适应度:  0.7224 | 标准差:  0.0499
第 280 代 | 最优适应度:  0.8380 | 平均适应度:  0.7142 | 标准差:  0.0529
第 281 代 | 最优适应度:  0.8380 | 平均适应度:  0.7219 | 标准差:  0.0496
第 282 代 | 最优适应度:  0.8380 | 平均适应度:  0.7065 | 标准差:  0.0594
第 283 代 | 最优适应度:  0.8380 | 平均适应度:  0.7104 | 标准差:  0.0556
第 284 代 | 最优适应度:  0.8380 | 平均适应度:  0.7105 | 标准差:  0.0627
第 285 代 | 最优适应度:  0.8380 | 平均适应度:  0.7275 | 标准差:  0.0458
第 286 代 | 最优适应度:  0.8380 | 平均适应度:  0.7228 | 标准差:  0.0540
第 287 代 | 最优适应度:  0.8380 | 平均适应度:  0.7179 | 标准差:  0.0576
第 288 代 | 最优适应度:  0.8380 | 平均适应度:  0.7276 | 标准差:  0.0519
第 289 代 | 最优适应度:  0.8380 | 平均适应度:  0.7078 | 标准差:  0.0535
第 290 代 | 最优适应度:  0.8380 | 平均适应度:  0.7147 | 标准差:  0.0509
第 291 代 | 最优适应度:  0.8380 | 平均适应度:  0.7087 | 标准差:  0.0578
第 292 代 | 最优适应度:  0.8380 | 平均适应度:  0.7127 | 标准差:  0.0601
